Pays;Commerce automobiles;Commerce de gros;Commerce de detail;Total
Allemagne;206,5;1 177,70;498,4;1 882,70
Autriche;29,1;154,7;59,1;242,8
Belgique;73,2;256,5;89,4;419,1
Bulgarie;2,7;34,6;11,1;48,4
Chypre;0,8;5,5;5,6;11,8
Croatie;2,3;14,7;11,8;28,8
Danemark;18,2;100,8;41,5;160,5
Espagne;54,8;360,4;210,5;625,7
Estonie;2,1;12,5;5,5;20,2
Finlande;16,9;75,9;38,9;131,8
France;158,1;804,7;447,7;1 410,50
Grece;6,4;68;50,4;124,8
Hongrie;8,3;45,9;25,1;79,2
Irlande;8,2;62,1;33,4;103,8
Italie;96,4;555,3;314;965,7
Lettonie;1,6;16;6,4;23,9
Lituanie;2,7;16,6;8,8;28,1
Luxembourg;3,7;64,9;23,8;92,4
Malte;;;2,3;6,1
Pays-Bas;63,1;448,3;104,8;616,1
Pologne;27,6;195,1;100,7;323,4
Portugal;11,8;64,5;43,3;119,6
Republique tcheque;13,8;87,7;37,1;138,5
Roumanie;8,3;54,8;32;95,1
Royaume-Uni;175,8;1 085,80;429,9;1 691,50
Slovaquie;4,7;28,7;18,1;51,4
Slovenie;3,7;12,9;12,2;28,8
Suede;37,3;156,1;72,1;265,5